,index,Unnamed: 0,ISCO,major_job,job,position,location,description,entities_auto_label,entities_manual_label
0,0,0,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Accelerator Physicist id54315,"Villigen PSI, Aargau","[' You have an academic degree in physics or engineering with profound knowledge of applied accelerator physics You have a demonstrated ability to compute beam optics and other parameters relevant to beam performance You have experience in experimental techniques and data analysis in the context of beam measurements You enjoy working in a diverse team and communicate efficiently in English. If you do not speak German, you are willing to strive for at least a basic level in that language ']",(),"[{'entity': physics, 'label': 'KNOWLEDGE'}, {'entity': English, 'label': 'SKILL'}, {'entity': German, 'label': 'SKILL'}]"
1,3,3,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied Physicist (Computing) (EP-LBC-2021-125-LD) id54308,Geneva,"[' Be in charge of the development of application software, in the context of the needs of the LHCb core and distributed computing groups. Be able to act as liaison between the requirements of LHCb data analysts interfacing with LHCb distributed computing infrastructure. Be using, possibly refactoring, testing, diagnosing, optimizing and integrating existing software, and while doing so you are expected to know about software life-cycle tools and procedures. Be in charge of creating new software solutions, or fully replace existing ones. Work within a small team of applied physicists and software developers. ', ' Demonstrated working experience in software development using the Python programming language. Extensive hands-on experience of software and techniques for High Energy Physics data analysis. Experience with the DIRAC software is a plus. ', ' Development of application software: in particular for distributed computing. Knowledge of programming techniques and languages: (mainly Python). Re-use, refactoring, integration and porting of existing software. Knowledge and application of software life-cycle tools and procedures. Testing, diagnosing and optimization of software. ', "" Achieving results: having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: being open to original ideas and creative options by which to address issues; continually driving change by seeking new ways to improve outcomes; addressing complex problems by breaking them down into manageable components. Demonstrating flexibility: readily absorbing new techniques and working practices; proposing new or improved ways of working; demonstrating openness to new ideas and situations. Working in teams: cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Learning and sharing knowledge: proposing ways to improve or streamline existing procedures, processes and methodologies; being receptive to others' ideas and building on them. "", ' Ability to draw-up technical specifications and/or scientific reports and to make oral presentations in English. Ability to understand and speak French in professional contexts, or the willingness to acquire it. ', ' Work in Radiation Areas. Interventions in underground installations. Work during nights, Sundays and official holidays, when required by the needs of the Organization. ']","(Python, Python)","[{'entity': Python, 'label': 'SKILL'}, {'entity': programming, 'label': 'KNOWLEDGE'}, {'entity': High Energy Physics data analysis, 'label': 'KNOWLEDGE'}, {'entity': programming techniques, 'label': 'KNOWLEDGE'}, {'entity': Python, 'label': 'SKILL'}, {'entity': English, 'label': 'SKILL'}, {'entity': French, 'label': 'SKILL'}]"
2,6,6,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Accelerator Physicist (BE-ABP-LNO-2021-122-LD) id54194,Geneva,"[' Contribute to the maintenance and development of the optics models and repository for the CERN hadron injector rings. Study and optimize operational conditions for the hadron injector rings to improve their performance aided by beam dynamics simulations. Provide optics support to other CERN present and future synchrotrons and colliders including the LHC and its high-luminosity upgrade. ', ' Identify fundamental limitations in the LHC injector rings’ performance and plan medium or long-term improvements. Contribute to the definition of operational conditions in Run 4 and to the optimization of the performance reach, including beam-based optimizations. Design and conduct experiments in the existing CERN synchrotrons to validate the concepts developed. ', ' Demonstrated experience of working in a scientific environment, preferably in the design and/or operation of particle accelerators. Experience of accelerator physics, with demonstrated ability in the field of optics design. Experience of experimental techniques and analysis of data from beam measurements. Experience with development of single-particle beam dynamics simulation codes. ', ' Experience with one of the following codes: MAD-X (see here ?url=http%3A%2F%2Fmadx.web.cern.ch%2Fmadx%2F&module=jobs&id=54194"" target=""_blank"" rel=""nofollow"">http://madx.web.cern.ch/madx/), SixTrack (see here ?url=http%3A%2F%2Fsixtrack-ng.web.cern.ch%2Fsixtrack-ng%2F&module=jobs&id=54194"" target=""_blank"" rel=""nofollow"">http://sixtrack-ng.web.cern.ch/sixtrack-ng/ ). Experience with beam commissioning and performance optimization of existing accelerator facilities. ', ' Simulation, design and development of (part of) particle accelerators. Analysis and optimization of accelerator performance. Knowledge and application of single-particle dynamics. Knowledge and application of non-linear beam dynamics. Knowledge and application of optics correction techniques. ', ' Achieving results: Having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: Assimilating large quantities of information, identifying key issues and formulating conclusions clearly and concisely. Working in teams: Cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Communicating effectively: Expressing opinions, ideas and suggestions with conviction and in a logical/structured manner; keeping to the point. Demonstrating accountability: Taking responsibility for own actions and decisions. ', ' Work during nights, Sundays and official holidays, when required by the needs of the Organization. Work in radiation-controlled areas when required by the needs of the Organization. ']","(medium,)","[{'entity': rel=""nofollow"">http://madx.web.cern.ch/madx/, 'label': 'KNOWLEDGE'}]"
3,9,9,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Fluidics Physicist,Cambridge,"[' Agency: Newton Colmore Consulting Reference: FPCEMDC02 ', ' Posted: 19th November 2021 Expires: 17th December 2021 ']",(),"[{'entity': Good communication, 'label': 'SKILL'}]"
4,11,11,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Graduate Experimental Engineering Physicist,Cambridge,"[' Agency: Newton Colmore Consulting Reference: GEEPC02 ', ' Posted: 19th November 2021 Expires: 17th December 2021 ']",(),"[{'entity': Top Rates, 'label': 'SKILL'}]"
5,12,12,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Magnet Engineer / Senior Magnet Engineer / Physicist,"Harwell, Oxfordshire","[' Carrying out 2D and 3D magnetic designs of high-quality accelerator magnets, covering the full range of d.c., a.c. and pulsed magnets, both permanent magnet and electromagnet, using sophisticated commercially available software. Creating detailed magnetic/mechanical/electrical procurement specifications. Supervising procurement contracts for the supply of magnets. Set-up, operate and maintain high precision magnetic measurement systems. Undertake magnetic measurement of accelerator magnets and analysis of data to assess field quality. Keeping abreast of worldwide developments in magnet technology. The major focus of this role is pulsed magnets i.e. kickers and septa. ']",(),"[{'entity': 2D and 3D magnetic, 'label': 'KNOWLEDGE'}]"
6,18,18,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Optics / photonics engineer or physicist (21364),"Ghent, East Flanders","["" At least 70% of your assignment will be spent on academic research. Designing, constructing and optimizing dedicated optical setups to support ongoing research projects. Being responsible for existing optical set-ups in the lab, performing maintenance and QC, and giving trainings to new users (e.g. setups for photoporation, experimental microscopy setups etc.). Innovation of optics-based technologies for drug delivery, for instance by developing improvements to existing technologies or by introducing new technologies in the lab Develop software tools to support quantitative image and data analysis. Contribute to more general technical and engineering tasks in the lab, such as ICT related tasks or providing assistance to setting up experimental techniques. Contribute to teaching tasks of the lab, such as providing demonstrations for the doctoral's school specialist course on Light Microscopy and the master's course on Bionanotechnology. Attracting funding by contributing to the writing of research proposals in the field. "", ' You hold a thesis-based doctorate in Physics or Engineering Physics or Engineering Photonics, or equivalent (obtained max. 6 years ago. This term of 6 years is determined by the date written on the above-mentioned required diploma). We are looking to extend our team with a highly motivated enthusiastic optics/photonics engineer or physicist to support the optics activities in our lab on a long-term basis. A contract at the level of postdoctoral researcher is offered, starting in February 2022 or as soon as possible afterwards. In case of a positive evaluation 1 year after the start, the contract can be extended. The candidate must have a strong interest in biological and biomedical applications, as well as willingness to work and collaborate in a multidisciplinary team. The candidate must have the willingness and interest to contribute to technical and engineering tasks in the lab in a broad manner. Programming experience is required as well, including LabView and Matlab. The candidate must be able to speak and write fluently in English. ', ' We offer you a contract of indefinite duration with a maximum term of 1 year which can be extended afterwards following a positive evaluation Your contract will start on 1/02/2022 at the earliest. You will be part of a dynamic and multidisciplinary team that is highly motivated to perform high-level research on drug delivery supported by advanced optical technologies. Your remuneration will be determined by salary scale PD1. ', "" In the field 'CV': your CV and an overview of your study results (merged into one pdf file) In the field 'Cover letter': your application letter in pdf format In the field 'Diploma': a transcript of the required degree (if already in your possession). If you have a foreign diploma in a language other than our national languages (Dutch, French or German) or English, please add a translation in one of the mentioned languages. In the field “other documents”: a reference letter, an overview of your study results, … ""]",(),"[{'entity': ICT, 'label': 'SKILL'}, {'entity': Physics, 'label': 'KNOWLEDGE'}, {'entity': Engineering Photonics, 'label': 'KNOWLEDGE'}, {'entity': 6 years, 'label': 'MIN_EXP'}, {'entity': 6 years, 'label': 'MIN_EXP'}, {'entity': English, 'label': 'SKILL'}, {'entity': 1 year, 'label': 'MIN_EXP'}, {'entity': Diploma, 'label': 'LEVEL'}, {'entity': Dutch, 'label': 'SKILL'}, {'entity': French, 'label': 'SKILL'}, {'entity': German, 'label': 'SKILL'}, {'entity': English, 'label': 'SKILL'}]"
7,21,21,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist,"Aldermaston, Berkshire","[' Market leading contributory pension scheme Generous holiday entitlement (270 hours a year plus every other Friday off) Flexible working hours Salary sacrifice scheme Consideration for either full time or part time hours. Just let us know on your application if you wish to work part time Relocation package available (terms and conditions apply) ', ' Developing and executing plasma and high-energy-density physics experiments at AWE’s Orion laser and at international laser and/or XFEL facilities, to test, underwrite and validate theoretical models and in-house physics codes Using and developing existing or new computational tools to predict and analyse experimental data Teamwork with relevant communities across AWE Working with international partners and external stakeholders Preparing detailed proposals and technical reports on experiments and their analysis Due to the unique nature of the work involved, training will be provided to enable inexperienced candidates to pick up the knowledge and skills necessary to work in the role. ', ' A degree in a physical science (ideally with maths and physics ‘A’ Level or equivalent) Enthusiasm for, or experience, in working in the area of high energy density science Experience in undertaking technical research projects and conducting technical assessments to draw sound scientific conclusions. At interview the candidate will be expected to present on a technical project they have undertaken. Conversant in the use of desktop computers and familiarity with standard IT products A clear and concise communication approach, both oral and written Good interpersonal skills A methodical approach to complex problem solving using scientific knowledge ']",(),"[{'entity': A degree, 'label': 'LEVEL'}]"
8,23,23,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Physicist/Optical Scientist/Engineer Technology Development,"Regensdorf, Zurich","[' PhD in physics or engineering (optical, microtechnology) or MSc with experience Expertise in physical modeling, simulation, and algorithm development Interest in light sensors and cameras Optical engineering know-how Proficiency with mathematical and simulation tools, in particular MATLAB Strong conceptual skills and a passion for systems and solutions thinking Excellent command of German and English Experience with image processing considered a plus Coding experience in C/C++ is considered a plus Experience in color science is considered a plus Experience with optical design SW is considered a plus ']","(C, C++)","[{'entity': PhD, 'label': 'LEVEL'}, {'entity': physics, 'label': 'KNOWLEDGE'}, {'entity': engineering, 'label': 'KNOWLEDGE'}, {'entity': MSc, 'label': 'LEVEL'}, {'entity': German, 'label': 'SKILL'}, {'entity': English, 'label': 'SKILL'}, {'entity': C/C++, 'label': 'SKILL'}, {'entity': color science, 'label': 'KNOWLEDGE'}]"
9,32,32,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Microfluidics Physicist,Cambridge,"[' Agency: Newton Colmore Consulting Reference: MPESC05 ', ' Posted: 12th November 2021 Expires: 10th December 2021 ']",(),"[{'entity': planning, 'label': 'KNOWLEDGE'}, {'entity': LCV, 'label': 'SKILL'}, {'entity': Powered, 'label': 'SKILL'}]"
